ticker_yf,sources
0001.HK,eligible
0002.HK,eligible
0003.HK,eligible
000333.SZ,event
0004.HK,eligible
0005.HK,eligible
000568.SZ,event
0006.HK,eligible
0008.HK,eligible
0010.HK,eligible
0012.HK,eligible
0013.HK,eligible
0014.HK,eligible
0016.HK,eligible
0017.HK,"eligible,event"
0019.HK,eligible
0020.HK,"eligible,event"
0023.HK,eligible
0027.HK,eligible
0038.HK,eligible
0041.HK,eligible
0066.HK,eligible
0081.HK,eligible
0083.HK,eligible
0087.HK,eligible
0101.HK,eligible
0107.HK,eligible
0119.HK,eligible
0123.HK,eligible
0135.HK,eligible
0136.HK,eligible
0142.HK,eligible
0144.HK,eligible
0148.HK,eligible
0151.HK,eligible
0152.HK,eligible
0165.HK,eligible
0168.HK,eligible
0173.HK,eligible
0175.HK,eligible
0177.HK,eligible
0179.HK,eligible
0187.HK,eligible
0189.HK,eligible
0200.HK,eligible
0220.HK,eligible
0241.HK,eligible
0257.HK,eligible
0267.HK,eligible
0268.HK,eligible
0270.HK,eligible
0285.HK,"eligible,event"
0288.HK,eligible
0290.HK,eligible
0291.HK,"eligible,event"
0293.HK,eligible
0297.HK,eligible
0300.HK,"eligible,event"
0303.HK,eligible
0308.HK,eligible
0316.HK,eligible
0317.HK,eligible
0322.HK,eligible
0323.HK,eligible
0325.HK,eligible
0336.HK,eligible
0338.HK,eligible
0345.HK,eligible
0347.HK,eligible
0354.HK,eligible
0358.HK,eligible
0363.HK,eligible
0371.HK,eligible
0384.HK,eligible
0386.HK,eligible
0388.HK,eligible
0390.HK,eligible
0392.HK,eligible
0425.HK,eligible
0440.HK,eligible
0460.HK,eligible
0467.HK,eligible
0470.HK,eligible
0501.HK,eligible
0506.HK,eligible
0512.HK,eligible
0522.HK,eligible
0525.HK,eligible
0546.HK,eligible
0548.HK,eligible
0551.HK,eligible
0552.HK,eligible
0553.HK,eligible
0564.HK,eligible
0568.HK,"eligible,event"
0570.HK,eligible
0576.HK,eligible
0586.HK,eligible
0588.HK,eligible
0590.HK,eligible
0598.HK,eligible
0604.HK,eligible
0631.HK,eligible
0636.HK,eligible
0638.HK,eligible
0639.HK,eligible
0656.HK,eligible
0659.HK,eligible
0666.HK,eligible
0667.HK,eligible
0669.HK,eligible
0670.HK,eligible
0683.HK,eligible
0688.HK,eligible
0696.HK,eligible
0697.HK,eligible
0699.HK,eligible
0700.HK,eligible
0719.HK,eligible
0728.HK,eligible
0751.HK,eligible
0753.HK,eligible
0754.HK,eligible
0762.HK,"eligible,event"
0763.HK,eligible
0772.HK,eligible
0780.HK,"eligible,event"
0788.HK,eligible
0811.HK,eligible
0817.HK,eligible
0819.HK,eligible
0826.HK,eligible
0836.HK,eligible
0839.HK,eligible
0853.HK,eligible
0855.HK,eligible
0856.HK,eligible
0857.HK,eligible
0867.HK,eligible
0868.HK,eligible
0874.HK,eligible
0880.HK,eligible
0881.HK,"eligible,event"
0883.HK,eligible
0895.HK,eligible
0902.HK,eligible
0909.HK,eligible
0914.HK,eligible
0916.HK,eligible
0917.HK,eligible
0921.HK,eligible
0934.HK,eligible
0939.HK,eligible
0941.HK,eligible
0956.HK,eligible
0960.HK,"eligible,event"
0966.HK,eligible
0968.HK,"eligible,event"
0975.HK,eligible
0981.HK,eligible
0990.HK,eligible
0991.HK,eligible
0992.HK,eligible
0995.HK,eligible
0998.HK,eligible
0999.HK,eligible
1024.HK,"eligible,event"
1030.HK,eligible
1033.HK,eligible
1038.HK,eligible
1044.HK,eligible
1052.HK,eligible
1053.HK,eligible
1055.HK,eligible
1057.HK,eligible
